GO ID	GO Name	GO Category	FDR	P-Value	Population
GO:0044421	extracellular region part	CELLULAR_COMPONENT	0.016978764	2.13E-05	Criollo
GO:1901136	carbohydrate derivative catabolic process	BIOLOGICAL_PROCESS	0.017870293	2.33E-05	Criollo
GO:0051346	negative regulation of hydrolase activity	BIOLOGICAL_PROCESS	0.020774797	2.82E-05	Criollo
GO:0006954	inflammatory response	BIOLOGICAL_PROCESS	0.0320066	4.51E-05	Criollo
GO:1901700	response to oxygen-containing compound	BIOLOGICAL_PROCESS	4.33E-12	2.26E-16	Curaray
GO:0006979	response to oxidative stress	BIOLOGICAL_PROCESS	1.45E-10	1.52E-14	Curaray
GO:0050268	coniferyl-alcohol dehydrogenase activity	MOLECULAR_FUNCTION	9.96E-10	1.56E-13	Curaray
GO:0009816	defense response to bacterium, incompatible interaction	BIOLOGICAL_PROCESS	2.44E-09	5.10E-13	Curaray
GO:0009605	response to external stimulus	BIOLOGICAL_PROCESS	8.52E-09	2.22E-12	Curaray
GO:0001101	response to acid chemical	BIOLOGICAL_PROCESS	2.87E-08	8.98E-12	Curaray
GO:0010033	response to organic substance	BIOLOGICAL_PROCESS	2.96E-08	1.08E-11	Curaray
GO:0051707	response to other organism	BIOLOGICAL_PROCESS	2.98E-08	1.54E-11	Curaray
GO:0050896	response to stimulus	BIOLOGICAL_PROCESS	2.98E-08	1.64E-11	Curaray
GO:0009607	response to biotic stimulus	BIOLOGICAL_PROCESS	2.98E-08	1.71E-11	Curaray
GO:0043207	response to external biotic stimulus	BIOLOGICAL_PROCESS	2.98E-08	1.54E-11	Curaray
GO:0000302	response to reactive oxygen species	BIOLOGICAL_PROCESS	4.10E-08	2.57E-11	Curaray
GO:0045551	cinnamyl-alcohol dehydrogenase activity	MOLECULAR_FUNCTION	4.69E-08	3.18E-11	Curaray
GO:0004672	protein kinase activity	MOLECULAR_FUNCTION	5.74E-08	4.19E-11	Curaray
GO:0006950	response to stress	BIOLOGICAL_PROCESS	7.16E-08	5.61E-11	Curaray
GO:0042221	response to chemical	BIOLOGICAL_PROCESS	7.58E-08	6.33E-11	Curaray
GO:0009725	response to hormone	BIOLOGICAL_PROCESS	3.31E-07	2.94E-10	Curaray
GO:0016773	phosphotransferase activity, alcohol group as acceptor	MOLECULAR_FUNCTION	9.27E-07	8.71E-10	Curaray
GO:0009719	response to endogenous stimulus	BIOLOGICAL_PROCESS	1.29E-06	1.28E-09	Curaray
GO:0006952	defense response	BIOLOGICAL_PROCESS	1.61E-06	1.72E-09	Curaray
GO:0016899	oxidoreductase activity, acting on the CH-OH group of donors, oxygen as acceptor	MOLECULAR_FUNCTION	1.61E-06	1.76E-09	Curaray
GO:0016301	kinase activity	MOLECULAR_FUNCTION	3.29E-06	3.78E-09	Curaray
GO:0097305	response to alcohol	BIOLOGICAL_PROCESS	4.29E-06	5.15E-09	Curaray
GO:0042742	defense response to bacterium	BIOLOGICAL_PROCESS	5.98E-06	7.49E-09	Curaray
GO:0009751	response to salicylic acid	BIOLOGICAL_PROCESS	6.94E-06	9.05E-09	Curaray
GO:0009814	defense response, incompatible interaction	BIOLOGICAL_PROCESS	1.14E-05	1.55E-08	Curaray
GO:0009617	response to bacterium	BIOLOGICAL_PROCESS	1.18E-05	1.66E-08	Curaray
GO:0009737	response to abscisic acid	BIOLOGICAL_PROCESS	2.02E-05	2.96E-08	Curaray
GO:0046677	response to antibiotic	BIOLOGICAL_PROCESS	2.07E-05	3.13E-08	Curaray
GO:0042493	response to drug	BIOLOGICAL_PROCESS	3.45E-05	5.41E-08	Curaray
GO:0014070	response to organic cyclic compound	BIOLOGICAL_PROCESS	3.69E-05	5.97E-08	Curaray
GO:0098542	defense response to other organism	BIOLOGICAL_PROCESS	4.19E-05	7.12E-08	Curaray
GO:1901806	beta-glucoside biosynthetic process	BIOLOGICAL_PROCESS	4.19E-05	7.22E-08	Curaray
GO:1900992	(-)-secologanin metabolic process	BIOLOGICAL_PROCESS	6.83E-05	1.25E-07	Curaray
GO:1900994	(-)-secologanin biosynthetic process	BIOLOGICAL_PROCESS	6.83E-05	1.25E-07	Curaray
GO:0033993	response to lipid	BIOLOGICAL_PROCESS	7.47E-05	1.40E-07	Curaray
GO:1902479	positive regulation of defense response to bacterium, incompatible interaction	BIOLOGICAL_PROCESS	1.53E-04	2.96E-07	Curaray
GO:0034486	vacuolar transmembrane transport	BIOLOGICAL_PROCESS	2.18E-04	4.33E-07	Curaray
GO:0016020	membrane	CELLULAR_COMPONENT	3.03E-04	6.17E-07	Curaray
GO:1902334	fructose export from vacuole to cytoplasm	BIOLOGICAL_PROCESS	5.77E-04	1.21E-06	Curaray
GO:0045087	innate immune response	BIOLOGICAL_PROCESS	5.77E-04	1.24E-06	Curaray
GO:0010726	positive regulation of hydrogen peroxide metabolic process	BIOLOGICAL_PROCESS	6.50E-04	1.46E-06	Curaray
GO:1901804	beta-glucoside metabolic process	BIOLOGICAL_PROCESS	6.50E-04	1.45E-06	Curaray
GO:0046275	flavonoid catabolic process	BIOLOGICAL_PROCESS	0.001243096	2.99E-06	Curaray
GO:0046284	anthocyanin-containing compound catabolic process	BIOLOGICAL_PROCESS	0.001243096	2.99E-06	Curaray
GO:1900000	regulation of anthocyanin catabolic process	BIOLOGICAL_PROCESS	0.001243096	2.99E-06	Curaray
GO:0009820	alkaloid metabolic process	BIOLOGICAL_PROCESS	0.001279264	3.14E-06	Curaray
GO:0016310	phosphorylation	BIOLOGICAL_PROCESS	0.001363236	3.48E-06	Curaray
GO:1902477	regulation of defense response to bacterium, incompatible interaction	BIOLOGICAL_PROCESS	0.001363236	3.49E-06	Curaray
GO:0051194	positive regulation of cofactor metabolic process	BIOLOGICAL_PROCESS	0.001683626	4.40E-06	Curaray
GO:0006955	immune response	BIOLOGICAL_PROCESS	0.001730907	4.97E-06	Curaray
GO:0050139	nicotinate-N-glucosyltransferase activity	MOLECULAR_FUNCTION	0.001730907	4.93E-06	Curaray
GO:0050636	vinorine synthase activity	MOLECULAR_FUNCTION	0.001730907	4.93E-06	Curaray
GO:0047807	cytokinin 7-beta-glucosyltransferase activity	MOLECULAR_FUNCTION	0.001730907	4.93E-06	Curaray
GO:0080062	cytokinin 9-beta-glucosyltransferase activity	MOLECULAR_FUNCTION	0.001730907	4.93E-06	Curaray
GO:0005353	fructose transmembrane transporter activity	MOLECULAR_FUNCTION	0.001837176	5.37E-06	Curaray
GO:0015755	fructose transmembrane transport	BIOLOGICAL_PROCESS	0.002311581	6.88E-06	Curaray
GO:0002239	response to oomycetes	BIOLOGICAL_PROCESS	0.003060888	9.27E-06	Curaray
GO:0004674	protein serine/threonine kinase activity	MOLECULAR_FUNCTION	0.003574386	1.10E-05	Curaray
GO:1901701	cellular response to oxygen-containing compound	BIOLOGICAL_PROCESS	0.003778917	1.18E-05	Curaray
GO:0005886	plasma membrane	CELLULAR_COMPONENT	0.004956876	1.58E-05	Curaray
GO:0071944	cell periphery	CELLULAR_COMPONENT	0.004956876	1.60E-05	Curaray
GO:0015089	high-affinity copper ion transmembrane transporter activity	MOLECULAR_FUNCTION	0.005928181	1.95E-05	Curaray
GO:0016138	glycoside biosynthetic process	BIOLOGICAL_PROCESS	0.007118101	2.42E-05	Curaray
GO:0033231	carbohydrate export	BIOLOGICAL_PROCESS	0.007118101	2.41E-05	Curaray
GO:0140096	catalytic activity, acting on a protein	MOLECULAR_FUNCTION	0.007702206	2.65E-05	Curaray
GO:0004888	transmembrane signaling receptor activity	MOLECULAR_FUNCTION	0.007995422	2.80E-05	Curaray
GO:0009642	response to light intensity	BIOLOGICAL_PROCESS	0.011772877	4.18E-05	Curaray
GO:0043621	protein self-association	MOLECULAR_FUNCTION	0.012159673	4.38E-05	Curaray
GO:0045089	positive regulation of innate immune response	BIOLOGICAL_PROCESS	0.0122103	4.46E-05	Curaray
GO:0051260	protein homooligomerization	BIOLOGICAL_PROCESS	0.016750766	6.21E-05	Curaray
GO:1905200	gibberellic acid transmembrane transport	BIOLOGICAL_PROCESS	0.017146419	6.63E-05	Curaray
GO:1905201	gibberellin transmembrane transporter activity	MOLECULAR_FUNCTION	0.017146419	6.63E-05	Curaray
GO:0042631	cellular response to water deprivation	BIOLOGICAL_PROCESS	0.017146419	6.62E-05	Curaray
GO:0051704	multi-organism process	BIOLOGICAL_PROCESS	0.017537993	6.87E-05	Curaray
GO:0046184	aldehyde biosynthetic process	BIOLOGICAL_PROCESS	0.017598773	6.98E-05	Curaray
GO:0102805	codeine O-demethylase activity	MOLECULAR_FUNCTION	0.018216477	7.41E-05	Curaray
GO:0008515	sucrose transmembrane transporter activity	MOLECULAR_FUNCTION	0.018216477	7.42E-05	Curaray
GO:0010310	regulation of hydrogen peroxide metabolic process	BIOLOGICAL_PROCESS	0.018332299	7.56E-05	Curaray
GO:0071215	cellular response to abscisic acid stimulus	BIOLOGICAL_PROCESS	0.019617264	8.19E-05	Curaray
GO:2000008	regulation of protein localization to cell surface	BIOLOGICAL_PROCESS	0.020130711	8.51E-05	Curaray
GO:0071462	cellular response to water stimulus	BIOLOGICAL_PROCESS	0.02176681	9.32E-05	Curaray
GO:0038023	signaling receptor activity	MOLECULAR_FUNCTION	0.022333391	9.68E-05	Curaray
GO:0015157	oligosaccharide transmembrane transporter activity	MOLECULAR_FUNCTION	0.023072741	1.10E-04	Curaray
GO:0015154	disaccharide transmembrane transporter activity	MOLECULAR_FUNCTION	0.023072741	1.10E-04	Curaray
GO:0002376	immune system process	BIOLOGICAL_PROCESS	0.023072741	1.09E-04	Curaray
GO:0002752	cell surface pattern recognition receptor signaling pathway	BIOLOGICAL_PROCESS	0.023072741	1.06E-04	Curaray
GO:0060089	molecular transducer activity	MOLECULAR_FUNCTION	0.023072741	1.09E-04	Curaray
GO:2001080	chitosan binding	MOLECULAR_FUNCTION	0.023072741	1.06E-04	Curaray
GO:0008219	cell death	BIOLOGICAL_PROCESS	0.023072741	1.04E-04	Curaray
GO:0032499	detection of peptidoglycan	BIOLOGICAL_PROCESS	0.023072741	1.06E-04	Curaray
GO:0097306	cellular response to alcohol	BIOLOGICAL_PROCESS	0.026284737	1.27E-04	Curaray
GO:0009991	response to extracellular stimulus	BIOLOGICAL_PROCESS	0.026284737	1.28E-04	Curaray
GO:0015020	glucuronosyltransferase activity	MOLECULAR_FUNCTION	0.029268106	1.44E-04	Curaray
GO:0009646	response to absence of light	BIOLOGICAL_PROCESS	0.029268106	1.45E-04	Curaray
GO:0046685	response to arsenic-containing substance	BIOLOGICAL_PROCESS	0.029405931	1.47E-04	Curaray
GO:0009506	plasmodesma	CELLULAR_COMPONENT	0.030540959	1.56E-04	Curaray
GO:0055044	symplast	CELLULAR_COMPONENT	0.030540959	1.56E-04	Curaray
GO:0031668	cellular response to extracellular stimulus	BIOLOGICAL_PROCESS	0.030751931	1.59E-04	Curaray
GO:0009628	response to abiotic stimulus	BIOLOGICAL_PROCESS	0.030917162	1.61E-04	Curaray
GO:0005911	cell-cell junction	CELLULAR_COMPONENT	0.032676684	1.72E-04	Curaray
GO:0050778	positive regulation of immune response	BIOLOGICAL_PROCESS	0.034530355	1.84E-04	Curaray
GO:0071396	cellular response to lipid	BIOLOGICAL_PROCESS	0.036074744	1.94E-04	Curaray
GO:0031349	positive regulation of defense response	BIOLOGICAL_PROCESS	0.036093818	1.96E-04	Curaray
GO:0009620	response to fungus	BIOLOGICAL_PROCESS	0.038017256	2.08E-04	Curaray
GO:0016098	monoterpenoid metabolic process	BIOLOGICAL_PROCESS	0.039446211	2.20E-04	Curaray
GO:0016099	monoterpenoid biosynthetic process	BIOLOGICAL_PROCESS	0.039446211	2.20E-04	Curaray
GO:0050896	response to stimulus	BIOLOGICAL_PROCESS	2.70E-08	2.63E-12	Guianna
GO:0048856	anatomical structure development	BIOLOGICAL_PROCESS	2.70E-08	2.82E-12	Guianna
GO:0007275	multicellular organism development	BIOLOGICAL_PROCESS	5.15E-08	8.07E-12	Guianna
GO:0032502	developmental process	BIOLOGICAL_PROCESS	5.17E-08	1.08E-11	Guianna
GO:0051707	response to other organism	BIOLOGICAL_PROCESS	9.39E-08	3.43E-11	Guianna
GO:0009607	response to biotic stimulus	BIOLOGICAL_PROCESS	9.39E-08	3.18E-11	Guianna
GO:0043207	response to external biotic stimulus	BIOLOGICAL_PROCESS	9.39E-08	3.43E-11	Guianna
GO:0032501	multicellular organismal process	BIOLOGICAL_PROCESS	1.01E-07	4.24E-11	Guianna
GO:0006952	defense response	BIOLOGICAL_PROCESS	4.13E-07	1.94E-10	Guianna
GO:0009605	response to external stimulus	BIOLOGICAL_PROCESS	5.29E-07	2.76E-10	Guianna
GO:0048731	system development	BIOLOGICAL_PROCESS	6.04E-07	3.47E-10	Guianna
GO:0098542	defense response to other organism	BIOLOGICAL_PROCESS	9.97E-06	6.25E-09	Guianna
GO:0016020	membrane	CELLULAR_COMPONENT	1.26E-05	8.57E-09	Guianna
GO:0042221	response to chemical	BIOLOGICAL_PROCESS	3.81E-05	2.78E-08	Guianna
GO:0009719	response to endogenous stimulus	BIOLOGICAL_PROCESS	6.74E-05	5.28E-08	Guianna
GO:0006950	response to stress	BIOLOGICAL_PROCESS	1.19E-04	9.97E-08	Guianna
GO:0010033	response to organic substance	BIOLOGICAL_PROCESS	1.22E-04	1.15E-07	Guianna
GO:0009617	response to bacterium	BIOLOGICAL_PROCESS	1.22E-04	1.14E-07	Guianna
GO:0065007	biological regulation	BIOLOGICAL_PROCESS	1.37E-04	1.43E-07	Guianna
GO:0009725	response to hormone	BIOLOGICAL_PROCESS	1.37E-04	1.36E-07	Guianna
GO:0009791	post-embryonic development	BIOLOGICAL_PROCESS	1.46E-04	1.60E-07	Guianna
GO:0050789	regulation of biological process	BIOLOGICAL_PROCESS	2.36E-04	2.71E-07	Guianna
GO:0071944	cell periphery	CELLULAR_COMPONENT	3.20E-04	3.84E-07	Guianna
GO:0005623	cell	CELLULAR_COMPONENT	7.94E-04	1.04E-06	Guianna
GO:0044464	cell part	CELLULAR_COMPONENT	7.94E-04	1.01E-06	Guianna
GO:0010154	fruit development	BIOLOGICAL_PROCESS	0.001106297	1.50E-06	Guianna
GO:0006468	protein phosphorylation	BIOLOGICAL_PROCESS	0.00124539	1.76E-06	Guianna
GO:0048316	seed development	BIOLOGICAL_PROCESS	0.001302094	1.90E-06	Guianna
GO:0003006	developmental process involved in reproduction	BIOLOGICAL_PROCESS	0.001387275	2.32E-06	Guianna
GO:0051704	multi-organism process	BIOLOGICAL_PROCESS	0.001387275	2.26E-06	Guianna
GO:0009628	response to abiotic stimulus	BIOLOGICAL_PROCESS	0.001387275	2.26E-06	Guianna
GO:0044444	cytoplasmic part	CELLULAR_COMPONENT	0.001387275	2.22E-06	Guianna
GO:0005737	cytoplasm	CELLULAR_COMPONENT	0.001483373	2.56E-06	Guianna
GO:0048583	regulation of response to stimulus	BIOLOGICAL_PROCESS	0.001522168	2.70E-06	Guianna
GO:0033993	response to lipid	BIOLOGICAL_PROCESS	0.001738756	3.18E-06	Guianna
GO:0005886	plasma membrane	CELLULAR_COMPONENT	0.001871156	3.52E-06	Guianna
GO:1990316	Atg1/ULK1 kinase complex	CELLULAR_COMPONENT	0.002166508	4.19E-06	Guianna
GO:0042742	defense response to bacterium	BIOLOGICAL_PROCESS	0.002621467	5.20E-06	Guianna
GO:0061458	reproductive system development	BIOLOGICAL_PROCESS	0.002629327	5.63E-06	Guianna
GO:0048608	reproductive structure development	BIOLOGICAL_PROCESS	0.002629327	5.54E-06	Guianna
GO:0043227	membrane-bounded organelle	CELLULAR_COMPONENT	0.002629327	5.42E-06	Guianna
GO:0016310	phosphorylation	BIOLOGICAL_PROCESS	0.002801434	6.29E-06	Guianna
GO:1901700	response to oxygen-containing compound	BIOLOGICAL_PROCESS	0.002801434	6.22E-06	Guianna
GO:0050793	regulation of developmental process	BIOLOGICAL_PROCESS	0.002916674	6.70E-06	Guianna
GO:0006464	cellular protein modification process	BIOLOGICAL_PROCESS	0.002954893	7.10E-06	Guianna
GO:0036211	protein modification process	BIOLOGICAL_PROCESS	0.002954893	7.10E-06	Guianna
GO:0005515	protein binding	MOLECULAR_FUNCTION	0.003171153	7.78E-06	Guianna
GO:0009893	positive regulation of metabolic process	BIOLOGICAL_PROCESS	0.003345057	8.38E-06	Guianna
GO:0043231	intracellular membrane-bounded organelle	CELLULAR_COMPONENT	0.00441609	1.13E-05	Guianna
GO:0099402	plant organ development	BIOLOGICAL_PROCESS	0.006194142	1.63E-05	Guianna
GO:0044267	cellular protein metabolic process	BIOLOGICAL_PROCESS	0.006194142	1.65E-05	Guianna
GO:0071840	cellular component organization or biogenesis	BIOLOGICAL_PROCESS	0.006389294	1.73E-05	Guianna
GO:0034639	L-amino acid efflux transmembrane transporter activity	MOLECULAR_FUNCTION	0.00641943	1.78E-05	Guianna
GO:0000003	reproduction	BIOLOGICAL_PROCESS	0.007274618	2.05E-05	Guianna
GO:0015186	L-glutamine transmembrane transporter activity	MOLECULAR_FUNCTION	0.00810684	2.33E-05	Guianna
GO:0009651	response to salt stress	BIOLOGICAL_PROCESS	0.008508086	2.49E-05	Guianna
GO:0022414	reproductive process	BIOLOGICAL_PROCESS	0.009379631	2.79E-05	Guianna
GO:0005622	intracellular	CELLULAR_COMPONENT	0.010154176	3.12E-05	Guianna
GO:0071554	cell wall organization or biogenesis	BIOLOGICAL_PROCESS	0.010154176	3.13E-05	Guianna
GO:0048869	cellular developmental process	BIOLOGICAL_PROCESS	0.010659743	3.38E-05	Guianna
GO:0010604	positive regulation of macromolecule metabolic process	BIOLOGICAL_PROCESS	0.010659743	3.40E-05	Guianna
GO:0043090	amino acid import	BIOLOGICAL_PROCESS	0.010742277	3.48E-05	Guianna
GO:0006796	phosphate-containing compound metabolic process	BIOLOGICAL_PROCESS	0.010864213	3.57E-05	Guianna
GO:0032973	amino acid export across plasma membrane	BIOLOGICAL_PROCESS	0.01100299	3.68E-05	Guianna
GO:0102978	furaneol oxidoreductase activity	MOLECULAR_FUNCTION	0.011446315	3.88E-05	Guianna
GO:0050284	sinapate 1-glucosyltransferase activity	MOLECULAR_FUNCTION	0.011643888	4.01E-05	Guianna
GO:0006793	phosphorus metabolic process	BIOLOGICAL_PROCESS	0.012251257	4.29E-05	Guianna
GO:0098712	L-glutamate import across plasma membrane	BIOLOGICAL_PROCESS	0.013589968	4.93E-05	Guianna
GO:0001504	neurotransmitter uptake	BIOLOGICAL_PROCESS	0.013589968	4.93E-05	Guianna
GO:0009507	chloroplast	CELLULAR_COMPONENT	0.013589968	4.97E-05	Guianna
GO:0044424	intracellular part	CELLULAR_COMPONENT	0.013793587	5.11E-05	Guianna
GO:0070887	cellular response to chemical stimulus	BIOLOGICAL_PROCESS	0.016304927	6.13E-05	Guianna
GO:0089718	amino acid import across plasma membrane	BIOLOGICAL_PROCESS	0.01673742	6.38E-05	Guianna
GO:0050794	regulation of cellular process	BIOLOGICAL_PROCESS	0.017076209	6.60E-05	Guianna
GO:0006955	immune response	BIOLOGICAL_PROCESS	0.017254171	6.90E-05	Guianna
GO:0051938	L-glutamate import	BIOLOGICAL_PROCESS	0.017254171	6.94E-05	Guianna
GO:0045087	innate immune response	BIOLOGICAL_PROCESS	0.017254171	6.89E-05	Guianna
GO:0004555	alpha,alpha-trehalase activity	MOLECULAR_FUNCTION	0.018612681	7.68E-05	Guianna
GO:0035798	2-alkenal reductase (NADP+) activity	MOLECULAR_FUNCTION	0.018612681	7.68E-05	Guianna
GO:0140115	export across plasma membrane	BIOLOGICAL_PROCESS	0.021203172	8.86E-05	Guianna
GO:0080134	regulation of response to stress	BIOLOGICAL_PROCESS	0.022207575	9.39E-05	Guianna
GO:0071310	cellular response to organic substance	BIOLOGICAL_PROCESS	0.02276432	9.79E-05	Guianna
GO:0007005	mitochondrion organization	BIOLOGICAL_PROCESS	0.02276432	9.87E-05	Guianna
GO:0015813	L-glutamate transmembrane transport	BIOLOGICAL_PROCESS	0.025529317	1.12E-04	Guianna
GO:0071495	cellular response to endogenous stimulus	BIOLOGICAL_PROCESS	0.025929217	1.15E-04	Guianna
GO:0043412	macromolecule modification	BIOLOGICAL_PROCESS	0.027604561	1.24E-04	Guianna
GO:0016043	cellular component organization	BIOLOGICAL_PROCESS	0.027792812	1.26E-04	Guianna
GO:0005993	trehalose catabolic process	BIOLOGICAL_PROCESS	0.028894985	1.33E-04	Guianna
GO:0030312	external encapsulating structure	CELLULAR_COMPONENT	0.033108993	1.54E-04	Guianna
GO:1902475	L-alpha-amino acid transmembrane transport	BIOLOGICAL_PROCESS	0.03404527	1.61E-04	Guianna
GO:0048367	shoot system development	BIOLOGICAL_PROCESS	0.03404527	1.63E-04	Guianna
GO:0009958	positive gravitropism	BIOLOGICAL_PROCESS	0.03404527	1.64E-04	Guianna
GO:0065008	regulation of biological quality	BIOLOGICAL_PROCESS	0.035319297	1.72E-04	Guianna
GO:0006835	dicarboxylic acid transport	BIOLOGICAL_PROCESS	0.037029079	1.82E-04	Guianna
GO:0051173	positive regulation of nitrogen compound metabolic process	BIOLOGICAL_PROCESS	0.03718566	1.84E-04	Guianna
GO:0031325	positive regulation of cellular metabolic process	BIOLOGICAL_PROCESS	0.037870509	1.92E-04	Guianna
GO:0051239	regulation of multicellular organismal process	BIOLOGICAL_PROCESS	0.037870509	1.92E-04	Guianna
GO:0007389	pattern specification process	BIOLOGICAL_PROCESS	0.04144494	2.12E-04	Guianna
GO:0031347	regulation of defense response	BIOLOGICAL_PROCESS	0.045495584	2.38E-04	Guianna
GO:0043229	intracellular organelle	CELLULAR_COMPONENT	0.045495584	2.38E-04	Guianna
GO:0051174	regulation of phosphorus metabolic process	BIOLOGICAL_PROCESS	0.045678694	2.52E-04	Guianna
GO:0002376	immune system process	BIOLOGICAL_PROCESS	0.045678694	2.53E-04	Guianna
GO:0015692	lead ion transport	BIOLOGICAL_PROCESS	0.045678694	2.49E-04	Guianna
GO:0052747	sinapyl alcohol dehydrogenase activity	MOLECULAR_FUNCTION	0.045678694	2.49E-04	Guianna
GO:0009834	plant-type secondary cell wall biogenesis	BIOLOGICAL_PROCESS	0.045678694	2.55E-04	Guianna
GO:0007595	lactation	BIOLOGICAL_PROCESS	0.045678694	2.51E-04	Guianna
GO:0019220	regulation of phosphate metabolic process	BIOLOGICAL_PROCESS	0.045678694	2.52E-04	Guianna
GO:0048827	phyllome development	BIOLOGICAL_PROCESS	0.047504853	2.68E-04	Guianna
GO:0006970	response to osmotic stress	BIOLOGICAL_PROCESS	0.047565476	2.73E-04	Guianna
GO:0055123	digestive system development	BIOLOGICAL_PROCESS	0.047565476	2.71E-04	Guianna
GO:0001558	regulation of cell growth	BIOLOGICAL_PROCESS	0.047769855	2.77E-04	Guianna
GO:0042221	response to chemical	BIOLOGICAL_PROCESS	2.10E-08	1.89E-12	Iquitos
GO:0050896	response to stimulus	BIOLOGICAL_PROCESS	2.10E-08	2.20E-12	Iquitos
GO:1901700	response to oxygen-containing compound	BIOLOGICAL_PROCESS	3.39E-07	5.31E-11	Iquitos
GO:0032891	negative regulation of organic acid transport	BIOLOGICAL_PROCESS	6.96E-07	2.18E-10	Iquitos
GO:0051956	negative regulation of amino acid transport	BIOLOGICAL_PROCESS	6.96E-07	2.18E-10	Iquitos
GO:0051953	negative regulation of amine transport	BIOLOGICAL_PROCESS	6.96E-07	2.18E-10	Iquitos
GO:0090188	negative regulation of pancreatic juice secretion	BIOLOGICAL_PROCESS	1.83E-06	2.39E-09	Iquitos
GO:0090186	regulation of pancreatic juice secretion	BIOLOGICAL_PROCESS	1.83E-06	2.39E-09	Iquitos
GO:0002238	response to molecule of fungal origin	BIOLOGICAL_PROCESS	1.83E-06	9.58E-10	Iquitos
GO:1905408	negative regulation of creatine transmembrane transporter activity	BIOLOGICAL_PROCESS	1.83E-06	2.39E-09	Iquitos
GO:1905407	regulation of creatine transmembrane transporter activity	BIOLOGICAL_PROCESS	1.83E-06	2.39E-09	Iquitos
GO:0038116	chemokine (C-C motif) ligand 21 signaling pathway	BIOLOGICAL_PROCESS	1.83E-06	2.39E-09	Iquitos
GO:0038146	chemokine (C-X-C motif) ligand 12 signaling pathway	BIOLOGICAL_PROCESS	1.83E-06	2.39E-09	Iquitos
